y,y_plus,ux_mean,u_plus
0,0,0,0
1,0.9375,0.0183264,0.366528
2,1.875,0.0545445,1.09089
3,2.8125,0.089756,1.79512
4,3.75,0.123389,2.46778
5,4.6875,0.155386,3.10771
6,5.625,0.185674,3.71349
7,6.5625,0.214309,4.28619
8,7.5,0.232714,4.65427
9,8.4375,0.0367347,0.734694
10,9.375,0.0400605,0.801209
11,10.3125,0.0432351,0.864701
12,11.25,0.0462585,0.92517
13,12.1875,0.0491308,0.982615
14,13.125,0.0518519,1.03704
15,14.0625,0.0544218,1.08844
16,15,0.0568405,1.13681
17,15.9375,0.0591081,1.18216
18,16.875,0.0612245,1.22449
19,17.8125,0.0631897,1.26379
20,18.75,0.0650038,1.30008
21,19.6875,0.0666667,1.33333
22,20.625,0.0681784,1.36357
23,21.5625,0.366516,7.33031
24,22.5,0.364132,7.28264
25,23.4375,0.361569,7.23139
26,24.375,0.360654,7.21308
27,25.3125,0.360734,7.21468
28,26.25,0.360642,7.21284
29,27.1875,0.359368,7.18735
30,28.125,0.357103,7.14207
31,29.0625,0.354611,7.09222
32,30,0.352311,7.04621
33,30.9375,0.350007,7.00014
34,31.875,0.347605,6.95211
35,32.8125,0.344652,6.89304
36,33.75,0.340506,6.81013
37,34.6875,0.334961,6.69922
38,35.625,0.328301,6.56602
39,36.5625,0.321267,6.42534
40,37.5,0.314566,6.29132
41,38.4375,0.308872,6.17745
42,39.375,0.304726,6.09452
43,40.3125,0.301849,6.03698
44,41.25,0.299198,5.98396
45,42.1875,0.295782,5.91564
46,43.125,0.291444,5.82889
47,44.0625,0.286362,5.72724
48,45,0.279924,5.59847
49,45.9375,0.271511,5.43022
50,46.875,0.260963,5.21925
51,47.8125,0.248178,4.96357
52,48.75,0.233203,4.66406
53,49.6875,0.216697,4.33393
54,50.625,0.19931,3.9862
55,51.5625,0.181318,3.62635
56,52.5,0.162496,3.24992
57,53.4375,0.142333,2.84667
58,54.375,0.120299,2.40598
59,55.3125,0.0960958,1.92192
60,56.25,0.0696705,1.39341
61,57.1875,0.0415667,0.831334
62,58.125,0.0137734,0.275467
63,59.0625,0,0
