y_physical,ux,rho
0,0,1
1,0.00149525,0.999253
2,0.00442918,0.999253
3,0.00727218,0.999254
4,0.0100241,0.999255
5,0.0126879,0.999253
6,0.0152561,0.999254
7,0.0177365,0.999255
8,0.0201263,0.999254
9,0.0224264,0.999253
10,0.0246377,0.999256
11,0.0267602,0.999258
12,0.0288025,0.99926
13,0.0307591,0.999256
14,0.0326258,0.999257
15,0.0344007,0.999265
16,0.0357593,0.999261
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0.0357435,0.999268
48,0.0343797,0.999266
49,0.0326065,0.999265
50,0.0307475,0.999262
51,0.0288005,0.999262
52,0.026762,0.999259
53,0.0246357,0.999258
54,0.0224292,0.999259
55,0.0201262,0.999259
56,0.0177346,0.999257
57,0.0152571,0.999254
58,0.0126859,0.999253
59,0.0100246,0.999254
60,0.00727289,0.999254
61,0.00443001,0.999254
62,0.00149555,0.999254
63,0,1
