y_physical,ux,rho
16,0.0354188,0.99926
16.5,0.0360972,0.999258
17,0.0366983,0.999264
17.5,0.037288,0.999265
18,0.0378586,0.999268
18.5,0.0384101,0.999272
19,0.0389465,0.99927
19.5,0.0394659,0.999267
20,0.0399658,0.999271
20.5,0.0404356,0.999265
21,0.0408972,0.999273
21.5,0.0413402,0.999269
22,0.0417658,0.999269
22.5,0.0421667,0.999269
23,0.0425445,0.99927
23.5,0.0429094,0.999263
24,0.0432472,0.999265
24.5,0.0435733,0.999272
25,0.0438769,0.99927
25.5,0.0441691,0.999266
26,0.0444229,0.999267
26.5,0.0446519,0.999268
27,0.0448701,0.999255
27.5,0.0450721,0.999261
28,0.0452422,0.999256
28.5,0.0453756,0.999262
29,0.0455015,0.999263
29.5,0.0456198,0.999265
30,0.0457018,0.999265
30.5,0.0457535,0.999262
31,0.0457974,0.999261
31.5,0.0458276,0.999269
32,0.0458276,0.999269
32.5,0.045801,0.999267
33,0.0457534,0.999263
33.5,0.0457018,0.999265
34,0.0456198,0.999263
34.5,0.0455016,0.999261
35,0.0453776,0.999259
35.5,0.0452422,0.999256
36,0.0450741,0.99926
36.5,0.0448775,0.99926
37,0.0446657,0.999259
37.5,0.044425,0.999262
38,0.044171,0.999265
38.5,0.0438943,0.999264
39,0.043589,0.999261
39.5,0.0432663,0.999264
40,0.0429304,0.999264
40.5,0.0425675,0.99927
41,0.0421876,0.99927
41.5,0.0417888,0.999268
42,0.0413612,0.999268
42.5,0.0409145,0.99927
43,0.040443,0.99927
43.5,0.039964,0.999267
44,0.0394661,0.999262
44.5,0.0389466,0.999269
45,0.0384102,0.99927
45.5,0.0378605,0.999269
46,0.0372881,0.999264
46.5,0.0366926,0.999263
47,0.0360853,0.999271
47.5,0.0354019,0.999267
