y_physical,ux,rho
0,0,1
0.5,0.000461198,0.99946
1,0.00135879,0.99946
1.5,0.00223089,0.99946
2,0.00307893,0.99946
2.5,0.00390323,0.99946
3,0.00470237,0.999459
3.5,0.00547788,0.99946
4,0.00622977,0.999462
4.5,0.00696092,0.999461
5,0.00767465,0.999462
5.5,0.00836309,0.999463
6,0.00903293,0.999462
6.5,0.00967988,0.999461
7,0.0103096,0.999461
7.5,0.0109194,0.999462
8,0.011511,0.999462
8.5,0.0120801,0.999462
9,0.012635,0.999465
9.5,0.0131741,0.999463
10,0.0136999,0.99946
10.5,0.0142094,0.99946
11,0.0147028,0.999457
11.5,0.0151875,0.999461
12,0.0156521,0.999465
12.5,0.0161016,0.999462
13,0.0165444,0.999458
13.5,0.0169661,0.999462
14,0.0173801,0.999464
14.5,0.0177733,0.999462
15,0.0181598,0.99946
15.5,0.0185319,0.999463
16,0.0188859,0.999462
16.5,0.0192208,0.999461
17,0.0195451,0.999466
17.5,0.0198543,0.999466
18,0.0201529,0.999467
18.5,0.0204392,0.999469
19,0.020714,0.999469
19.5,0.0209773,0.99947
20,0.0212292,0.99947
20.5,0.0214696,0.999473
21,0.0216976,0.999473
21.5,0.0219105,0.999469
22,0.0221156,0.999471
22.5,0.0223045,0.999472
23,0.0224753,0.999474
23.5,0.0226327,0.999474
24,0.0227749,0.999474
24.5,0.0229066,0.999473
25,0.0230277,0.999474
25.5,0.0231337,0.999471
26,0.0232311,0.99947
26.5,0.023314,0.999472
27,0.0233857,0.999468
27.5,0.0234526,0.999465
28,0.0235146,0.999463
28.5,0.0235633,0.999462
29,0.0236156,0.99947
29.5,0.0236482,0.999465
30,0.023673,0.999462
30.5,0.023694,0.999462
31,0.0237102,0.999464
31.5,0.023717,0.99946
32,0.023717,0.99946
32.5,0.0237102,0.999464
33,0.023694,0.999462
33.5,0.023673,0.999462
34,0.0236482,0.999465
34.5,0.0236156,0.99947
35,0.0235633,0.999462
35.5,0.0235146,0.999463
36,0.0234526,0.999465
36.5,0.0233857,0.999468
37,0.023314,0.999472
37.5,0.0232311,0.99947
38,0.0231337,0.999471
38.5,0.0230277,0.999474
39,0.0229066,0.999473
39.5,0.0227749,0.999474
40,0.0226327,0.999474
40.5,0.0224753,0.999474
41,0.0223045,0.999472
41.5,0.0221156,0.999471
42,0.0219105,0.999469
42.5,0.0216976,0.999473
43,0.0214696,0.999473
43.5,0.0212292,0.99947
44,0.0209773,0.99947
44.5,0.020714,0.999469
45,0.0204392,0.999469
45.5,0.0201529,0.999467
46,0.0198543,0.999466
46.5,0.0195451,0.999466
47,0.0192208,0.999461
47.5,0.0188859,0.999462
48,0.0185319,0.999463
48.5,0.0181598,0.99946
49,0.0177733,0.999462
49.5,0.0173801,0.999464
50,0.0169661,0.999462
50.5,0.0165444,0.999458
51,0.0161016,0.999462
51.5,0.0156521,0.999465
52,0.0151875,0.999461
52.5,0.0147028,0.999457
53,0.0142094,0.99946
53.5,0.0136999,0.99946
54,0.0131741,0.999463
54.5,0.012635,0.999465
55,0.0120801,0.999462
55.5,0.011511,0.999462
56,0.0109194,0.999462
56.5,0.0103096,0.999461
57,0.00967988,0.999461
57.5,0.00903293,0.999462
58,0.00836309,0.999463
58.5,0.00767465,0.999462
59,0.00696092,0.999461
59.5,0.00622977,0.999462
60,0.00547788,0.99946
60.5,0.00470237,0.999459
61,0.00390323,0.99946
61.5,0.00307893,0.99946
62,0.00223089,0.99946
62.5,0.00135879,0.99946
63,0.000461198,0.99946
63.5,0,1
